#SampleID	SOURCE_ENV	Env	SourceSink	TITLE	METAPHLAN_BARCODE	RUN_DATE	STUDY_CENTER	PRINCIPAL_INVESTIGATOR	PRINCIPAL_INVESTIGATOR_CONTACT	SEQUENCING_METH
TMP_B39	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B42	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B44	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B47	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B49	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_B51	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_C53	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_C54	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_C57	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_C60	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
TMP_C62	toothbrush	toothbrush	sink	TMP	NA	2019	Northwestern	Erica Hartmann	erica.hartmann@northwestern.edu	Illumina HiSeq
SRS011061	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011084	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011086	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011090	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011098	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011111	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS011115	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011126	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011132	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS011134	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011140	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011144	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011152	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011239	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011243	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011247	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011255	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011263	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS011269	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS011271	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011302	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011306	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011310	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011343	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS011355	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS011397	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS011405	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011452	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011529	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS011584	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS011586	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS012273	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS012279	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012281	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012285	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012291	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS012294	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS012663	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS012849	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS012902	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS012916	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012918	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012922	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012924	L_Retroauricular_crease	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS012934	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS012969	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS012983	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012985	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012989	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS012998	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013098	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013155	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013158	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013164	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013170	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013215	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013216	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013234	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013239	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013252	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013258	L_Retroauricular_crease	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013261	R_Retroauricular_crease	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013269	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013382	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013476	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013502	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013506	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013521	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013533	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013542	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS013637	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013638	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013639	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013651	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013663	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013687	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013705	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013711	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013723	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013740	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013800	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013818	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013825	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013836	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013876	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013879	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013881	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013927	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013938	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013940	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013942	Saliva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013945	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013946	Keratinized_gingiva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013947	Palatine_Tonsils	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013948	Throat	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013949	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013950	Subgingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS013951	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013956	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS013965	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS013973	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014107	Subgingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014124	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014126	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014127	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014235	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014271	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014287	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014313	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014343	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014344	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014391	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014402	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014404	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014412	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014415	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014459	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014464	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS014465	Vaginal_introitus	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014466	Mid_vagina	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014468	Saliva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014470	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014472	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014473	Keratinized_gingiva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014474	Palatine_Tonsils	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014475	Throat	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014476	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014477	Subgingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014494	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014523	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014524	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014528	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014530	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014534	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014573	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014575	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014578	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014613	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014629	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014682	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS014683	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014684	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014686	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014687	Keratinized_gingiva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014689	Throat	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014690	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014691	Subgingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014692	Saliva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014728	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014736	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014744	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014787	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014801	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS014855	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014888	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014890	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014894	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014901	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS014923	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014935	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014941	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS014948	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014979	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS014998	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015038	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015040	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015044	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015051	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015054	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015057	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015059	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015060	Keratinized_gingiva	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015061	Palatine_Tonsils	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015062	Throat	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015063	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015064	Subgingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015065	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015071	Vaginal_introitus	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015072	Mid_vagina	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015073	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015095	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015116	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015120	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015128	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015133	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015148	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015154	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015158	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015168	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015174	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015190	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015209	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015215	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015217	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015225	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015246	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015264	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015269	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015272	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015274	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015278	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015280	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015290	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015296	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015308	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015369	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015374	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015378	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015381	R_Retroauricular_crease	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015388	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015395	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015425	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015430	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015431	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015434	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015436	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015440	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015450	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015453	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015470	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015481	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015484	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015486	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015540	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015574	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015578	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015579	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015584	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015587	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015590	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015592	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015596	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015640	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015644	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015646	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015650	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015663	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015686	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015688	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015692	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015694	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015702	Posterior_fornix	Vaginal	source	HMP	NA	NA	NA	NA	NA	NA
SRS015745	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015752	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015755	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015762	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015782	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015793	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015794	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015797	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015799	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015803	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015816	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015854	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015890	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015893	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015895	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015899	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015912	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015921	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015937	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
SRS015941	Tongue_dorsum	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015960	Stool	Gut	source	HMP	NA	NA	NA	NA	NA	NA
SRS015985	Buccal_mucosa	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015989	Supragingival_plaque	Oral	source	HMP	NA	NA	NA	NA	NA	NA
SRS015996	Anterior_nares	Skin	source	HMP	NA	NA	NA	NA	NA	NA
