# Taxa	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
Veillonella_parvula	0.0385418	0.0009169	0.015863	0	0.0197374	0.02451	0.0006057	0	0.0010582	0.0032541	0	0.2057909	0.0423475	0.0003432	0.0122183	0.0908672	0.0014103	0.0001448	0.0012844	0.0518963	0.0108571	0.0032559	0.0024477	0.0003083	0.0053676	0.0202271	0	0.0171203	0.0008107	0.0028876	0.3098018	0.0004223	0.0101228	0.023051
Streptococcus_parasanguinis	0.0644253	0.0080713	0.1570087	6.80E-05	0.0345295	0.0647248	0.0068707	0	0.0016571	0.0006905	0.0001324	0	0.0871804	0	0.0112324	0.0639376	0.0433143	0.0005435	0.0014929	0.0160885	0.0780916	0.0206909	0.0110824	0.0271384	0.0817254	0.0086373	0.0161444	0.0541006	0.000896	9.86E-05	0.0021286	0.0001648	0.0028102	0.044298
Rothia_dentocariosa	0.0020233	0.0001769	0.0048128	3.61E-05	0.0304194	0.0354093	0.0409871	0	0.0064371	0.0016247	0.0004267	0.0311839	0.0125315	0.000535	0.0083472	0.3327547	0.0032627	0	0.0054515	0.0017058	0.0509527	0.0436744	0.0001865	0.0016825	0.0027606	0.0437232	0.1720178	0.006935	8.85E-05	0	0.0172918	0	0.0103093	0.0076986
Acinetobacter_pittii_calcoaceticus_nosocomialis	0.0001807	0.4352412	0	0	0.0006941	0	0	0	0	0	0	0.0162592	0	0.0034343	0	0	0	0	0	0.0003044	0	0	0	0	0.0001583	0.0001383	0	8.57E-05	0.0003352	0.0003603	0	0.3352176	0.0002686	0
Serratia_liquefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7576558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium_yanoikuyae	0	0	0	0.0070354	6.87E-05	0	0	0.0837846	0	0.0079545	0	0	0	0	0	0	0	0.002552	0.0002177	0	0	0	0.0025875	0	0	0	0	0	0.4122036	0.2269927	0	0.0011152	0	0
Neisseria_unclassified	0.0418502	0	0	0	0.0060989	0	0	0	0.00149	0	0.0006631	0	0.0114426	0	0.0027739	0.0062691	0	0	0	0.3537671	0.0075748	0.0014338	0	0.0095629	0.0003962	0.0473573	0	0.0110799	0.0007636	0	0.0122028	0	0.0005996	0.028022
Streptococcus_salivarius	0.0062553	0.0051223	0.0888587	0	0.0200815	0.0129281	0.0027066	0	0.0012451	0.0003356	0	0	0.0862569	2.29E-05	0.0054191	0.0193235	0.0106419	6.40E-05	0.0003349	0.0044413	0.0681594	0.0081095	0.0176262	0.0150604	0.1046923	0.0029453	0	0.0358429	0.0017718	0	0	0	0.0004663	0.0106252
Klebsiella_pneumoniae	0	0	0.014121	0.5024656	0.000334	0	0.0002177	0	0	0	0	0	0	0	0.0008975	0.0011359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014631	0	0
Streptococcus_mitis_oralis_pneumoniae	0.0120263	0	0.0011343	0.0010587	0.0204604	0.0012373	0.0015004	0	0.0011043	2.67E-05	0	0.0968664	0.0643362	0.0001481	0.0116109	0.0431957	0.0064867	0	0.0126636	0.0065746	0.0123971	0.0078821	0.0013324	0.0014204	0.0185952	0.0457561	0.0122478	0.00568	0.0003073	0	0.0098233	6.54E-05	0.0149792	0.0726886
Citrobacter_freundii	0	0.0001309	0	0.029205	0	0	0	0	0	0	0	0	0	0.4518228	0	0	0.0001187	0.0001438	0.0006036	0	0	3.74E-05	0	3.69E-05	0	7.20E-05	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0.0219115	0	0.0047014	0	0.0056494	0.0180911	0.000262	0	0	0	0.0004282	0.1103346	0.0134297	0	0.0018836	0.0045261	0.0001705	0.0002741	0	0.0207995	0.0914938	0.0120067	0.0005397	0.0067372	0.1113513	0.0224294	0	0.0075365	0	0	0	0	0.0019108	0.0222127
Pseudomonas_aeruginosa	0	0	0	0.0086838	0	0	0	0	0	0	0	0	0	0.0012021	0	0	0	0.0730239	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0.3870379	0	0
Abiotrophia_defectiva	0.1016055	0.0004241	1.03E-05	0	0.088679	0	0	0	0.0001272	0	0.0001258	0	0	0	0.0029824	0.0135256	0	0	0.0009749	0.0115331	0	0	0	7.98E-05	0	0.1002399	0.0084187	0.0004518	0	6.51E-05	0.0893403	0.0010484	5.78E-05	0.0427003
Lautropia_mirabilis	0.0648585	0	0	0	0.0170987	0.0012741	0	0	0	0	9.98E-05	0.0028799	0.003664	0	0.000576	0.0078456	0	0	0	0.0786787	0.0142485	0.0016002	0	0.000141	0.0104892	0.0893539	0	0.0002204	0.0003157	0	0.0095762	0	5.00E-04	0.1432186
Streptococcus_gordonii	0.004691	0	0.0019982	0	0.0037163	0	0	0	8.35E-05	0.0003623	0	0.1160397	0.008066	0	0.0021898	0.0291534	0.0001329	0	0.0038508	0.0077018	0.0009301	0.000406	0	0	0.0005919	0.0007174	0.2382105	0.0010287	0	0.0001393	0	0.0016028	0.0005283	0.0018254
Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0.3717079	0	0	0	0.0002493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006468	0	0
Veillonella_atypica	0.0018261	0.0020623	0.0459022	0	0.002604	0.1319904	0	0	0	0	0	0	0.0374049	0	0.0007282	0.0461239	0.0039161	0	0	0.0001366	0.00283	0.0007049	0.0063673	0.0021441	0.0057393	0.0003903	0	0.0207532	0	0	0.0062777	0	0	0.0006859
Acinetobacter_junii	0	0	0	0	0	0	0	0	0	0.037782	0	0	0	0	0	0	0	0.2676084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica	0.0146316	0.0001629	0.0580378	0	0	0.082811	0	0	0	0	0	0	0.0105617	0	0.0012046	0.0059252	0.0006061	0	0	0.002312	0.0214604	0.0100728	0	0.0031705	0.0209405	0.0006373	0	0.0298469	0	0	0.0162861	0	0	0.0004598
Streptococcus_australis	0.0194662	0	0	0.0007705	0.0200656	0	0	0	0.0001618	0	0	0.0073139	0.0384486	0	0.0007929	0	0.0019972	0	0.003288	0.0027987	0.0086427	0.0028581	0.0156165	0.0260411	0.0143736	0.0083871	0	0.0092391	0.0005915	0	0	6.91E-05	0.0789894	0.0139771
Delftia_acidovorans	0	0.1360668	0	0	0	0	0	0	0	0	0	0	0	0.0029888	0	0	0	0.0652352	0	0	0	0	9.75E-05	0	0	0	0	0	0	0.0249597	0	0	0	0
Rothia_aeria	0.0044103	0	0	0.0006261	0.0222519	0	0	0	0	0.0003187	4.56E-05	0.0283505	0.0193597	0.0002231	0.0002915	0.0045559	0.0002297	0	0	0.00064	0.0216343	0.0178856	0.0001842	0.0002491	0.0057474	0.0342742	0.0110022	0.007179	0.0005185	0	0	0	0.0002664	0.043348
Klebsiella_unclassified	0.000143	0.0009146	0	0	0.0009189	0.0115795	0.0521803	0.0013269	0.0001506	0.000816	0.0002017	0.0135762	0	4.38E-05	0	0.0028012	0	0	0	7.51E-05	0	0.1360122	0.0001841	0	0	3.62E-05	0	6.59E-05	0	0	0.0018519	5.55E-05	0	0
Raoultella_ornithinolytica	0	0	0	0	6.59E-05	0	0	0.1686989	0	0	0	0	0	0	0	0	0	0	0	2.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_infantis	0.015821	0.0006995	0.0005828	0	0.0150506	0.0048017	0.0017492	0	0	0	0.0001498	0	0.0367962	0	0.0039271	0	0.0072153	0.0005527	0	0.0009166	0.0012553	0	0.0153609	0.0143428	0.0115874	0.0087081	0	0.0221868	0.0001334	0	0	0	0	0.006869
Actinomyces_viscosus	0.0006985	0	0.0003659	0.0003277	0.0072742	0	0.0021526	0	0.0006984	0.0001978	0	0	0.0063434	0	0.0027701	0.012588	0.00096	0	0.0008409	0.0050297	0.0022214	0.0018543	0	9.28E-05	0.0022448	0.0026584	0.060868	0.0011233	0.0013565	0.0003284	0.042909	0	0.0015104	0.0008378
Delftia_unclassified	0	0.0342211	0	0	0	0	0	0	0	0.000291	0	0	0	0.0044291	0	0	0	0.0267605	0	0	0	0	0	0	0	0	0	0	0	0.0915712	0	0	0	0
Actinomyces_sp_oral_taxon_448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0572686	0	0	0	0	0.0320388	0.0215286	0.033126	0	0	0	0.0108116	0	0	0	0	0	0	0	0
Kocuria_unclassified	0	0	0	0	0	0	0	0	0.0023758	0	0.0030541	0	0	7.62E-05	0.0181635	0.00207	0.1013549	0	0.000376	7.35E-05	0	0	0	0.0001202	0.0087657	0	0	0	0.0002395	0	0	0	0	0.0142145
Chryseobacterium_unclassified	0	0.0825997	0	0	0	0	0	0.0004938	0	0	0	0	0	0	0	0	0	0.0631861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella_adiacens	0.0236178	7.70E-05	0.0022167	0	0.0133369	0	4.03E-05	0	0.0004469	0	0	0	0.0130982	0	0.0118696	0.0033514	0.00619	0	0	0.0161301	0.0033793	0.0027998	0	0.0014923	0.0010369	0.0204463	0	0.0058262	3.31E-05	0	0	0	0.0003638	0.0205178
Neisseria_sicca	0.0038492	0	0	0	0.0012112	0	0	0	0	0	0	0	0	0	0.0005603	0	0	0	0	0.0949157	0.0004637	2.05E-05	0	0	0	0.0017158	0	0.0002136	0	0	0.030603	0	0	0.0026582
Enhydrobacter_aerosaccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149821	0.1202333	0	0	0	0
Acinetobacter_johnsonii	0	0	0	0.0018986	0	0	0	0.0186846	0	0	0	0	0	0.0013483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0962243	0	0.0148217	0	0
Actinomyces_oris	0.0003401	0	0	0.0001623	0.0186648	0	3.14E-05	0	0.0050995	0	0	0	0.0085028	0	0.0018122	0.0016326	0.003475	0	0.0001871	0.0081215	0.0043431	0.0052696	0	0	0.0008394	0.0045817	0.0527669	0.0015038	0.0044606	0.0004123	0.0031599	7.99E-05	0.0005774	0.0001686
Prevotella_histicola	0.0003204	0	0.0633079	0	0	0.0265996	0	0	0	0	0	0	0	0	0.00043	0.006512	0	0	0	0	0.0071073	0.0012516	0	0	0.0143572	0	0	0	0	0	0	0	0	0
Actinomyces_odontolyticus	0.0092709	0	0.0062382	0.0007302	0.0291721	0	0	0	0.0003363	0	0	0	0.0072914	0	5.91E-05	0.0004701	0.0032683	0	0.0038177	0.0069659	0.0101922	0.0059412	0.0013909	0.0005389	0.0029729	0.0078735	0	0.0122616	3.22E-05	0	0	0	0.0032469	0.0047092
Pseudomonas_stutzeri	0	0	0	0	0	0	0	0	0	0.001851	0.0011726	0	0.007509	0.1046438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001398	0	0
Comamonas_unclassified	0	0.0009105	0	0	0	0	0	0	0	0.0609826	0	0	0	0	0	0	0.0004291	0.0011218	0	0	0	0	0	0	0	0	0	0	0.0001927	0.0002943	0	0.0494954	0	0
Actinomyces_sp_HPA0247	0	0	0.0233345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0866093	0	0	0	0	0	0	0	0	0
Streptococcus_intermedius	0.0077966	0	0.0001194	0	0.0611033	0	0	0	0	0.0003857	0	0	0	0	0.0049133	0.0027343	9.33E-05	0	0	0.0003494	0.0014719	0.000396	0	0	0.0002643	0	0	0.0001933	0	0	0	0	0.0021761	0.0275366
Gemella_haemolysans	0.0321514	0	0.0004067	0.0002145	0.0082223	0	0	0	0	0	0	0.0047123	0.0106463	0	0	0.0040636	0.0001218	0	0.0009321	0.0006101	0.0007972	0.0013294	0	0	0.0015112	0.0074721	0	0.0003508	0	0	0	0	0.0027623	0.0304069
Citrobacter_unclassified	0	0.00015	0	0.0018941	0	0	0	0	0	0	0	0	0	0.1001878	0	0	0.000147	0	0.0001524	5.60E-05	1.70E-05	2.69E-05	0	3.93E-05	0	9.34E-05	0	0	0	0	0	0.0003537	0	0
Brevundimonas_unclassified	0	0.0038661	6.90E-05	0	0	0	0	0	0	0	9.80E-05	0	0	0	0	0	0	7.02E-05	0	0	0	0	0	0	0	0	0	0	0	0.0987223	0	0	0	0
Corynebacterium_matruchotii	0.0003064	0	9.44E-05	0	0.001075	0.0003501	0	0	0	0	0	0.0058739	0.0029018	0	1.20E-05	0.0227279	0.0005259	0	0	0.0002667	0.0284897	0.0024129	0	0.0001549	0	0.0110111	0	0.0009633	0	0	0.0231732	0	0	0.0017121
Granulicatella_unclassified	0.0262255	0.0015997	0.0071576	0	0	0.0047434	0.0002605	0	0	0.0002378	0	0.0129058	0.0094676	5.03E-05	0	0	0.0067886	0	0.0006793	0	0.0019458	0.0001872	0.0018582	0.0091008	0.0016802	0	0	0.0081664	0.0002257	0.0001416	0	0	0.0022704	0.001124
Pseudomonas_sp_UK4	0	0	0	0	0	0	0	0.0034499	0	0	0	0	0	0.092173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum	0.0018732	0	0.0006816	0	0.0467325	0	0.0003259	0	0	0	0	0	0.0016348	0	0	0.0069389	0	0	0	0.0030137	0.0002129	9.63E-05	0	0	0	0.0019919	0	0.0010555	0	0	0.0099928	0	0	0.0118123
Porphyromonas_sp_oral_taxon_279	0.0391855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0030386	0	0.0086101	0	0.011049	0	0	0	0	0	0.0225191
Actinomyces_massiliensis	0.0001511	0	0.000716	0	0.0061603	0	0	0	0.000461	0.0001085	0	0	0.0108595	0	0.0017246	0.0068402	0.0001025	0	0	0.0211369	0.005882	0.0057592	4.26E-05	0	0.002858	0.0095883	0	0.0063711	0.0006225	0	0	0	0	0.002515
Veillonella_dispar	0.0004184	0.0009708	0.0332082	0	0.0005305	0.0112625	0	0	0	0	0	0	0.00144	0	0.0005539	0.0112655	0.0002724	0	0	0.0033874	0.0049878	0.0008722	0.0008916	9.94E-05	0.0020364	5.29E-05	0	0.0052679	0	0	0.0005383	0	0	0
Actinomyces_graevenitzii	0.0002174	0	0.0041499	0	0.0050646	0.001998	0	0	0	0	0	0	0.0126686	0	0	0.0027615	0.0002738	0	0	0	0.0015788	2.82E-05	0.0009064	0	0.038758	8.24E-05	0	0.0092702	0	0	0	0	0	0
Leptotrichia_unclassified	0.0009587	0	0.0009334	0	0.0024941	0.0003196	0	0	0	0	0	0	0.0135397	0	0.0046353	0.0059808	0	0	0	0.0046759	0.0047473	0.0015804	0	5.12E-05	0.0005682	0.0059386	0	0.0140211	0	0	0.0135888	0	0.0003581	0.0033344
Micrococcus_luteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0738312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oribacterium_sinus	0.002117	0	0.0079091	0	0.0017082	0.0254623	5.70E-05	0	0	0	0	0	0.0058228	0	0.0007512	0.0020599	0.0022247	0	0	0.0004768	0.0012282	5.05E-05	0.001646	0.0020997	0.0123762	0.0010889	0	0.0045611	0	0	0	0	0	4.34E-05
Solobacterium_moorei	0.0019018	0	0.0063314	0	0.0086544	0	0.0002062	0	0	0	0	0	0.0087683	0	0.0002775	0	0.0007752	0	0	0.0002986	0.0009399	0	0	0	0	0.000852	0	0.0372647	0	0	0	0	0	0.000716
Stomatobaculum_longum	0.0006393	0.0001912	0.0144307	0	0.0171563	0.0036767	0.000244	0	0	0	0	0	0	0	0.0001608	0.0068165	0.0016146	0	0	3.03E-05	0.0005151	0.000138	0.001625	0	0.0020097	0.000241	0	0.003606	0	0	0.0083169	0	0	0
Corynebacterium_durum	0	0	0.0001915	0.0003642	0.0097701	0	0	0	0	0	0	0	0.0007212	0	0.0005682	0	0.0007397	0	0	0.0012675	0.0175929	0.0090791	0	0.0003087	0.0006488	0.0157891	0	0.0022303	0.0006092	0	0	0	0	0.0004783
Actinobaculum_sp_oral_taxon_183	0	0	0	0	0.0377306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_putida	0	0.000816	0	0.0034241	0	0	0	0	0	0	0.0046436	0	0.0067874	0.0423805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006218	0	0	0	0	0
Atopobium_parvulum	0.000563	0.0003709	0.0243968	0	0.0047091	0.0036075	0	0	0	0	0	0	0.0058374	0	0.0001832	0.0019376	0.0029105	0	0	0.0003243	0.0023365	0.0005919	0	0	0.0010494	0.0011589	0	0.0080614	0	0	0	0	0	0
Actinomyces_sp_ICM47	0	0	0.0374325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204871	0	0	0	0	0	0
Streptococcus_phage_EJ_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0578457	0	0	0	0	0	0	0	0
Megasphaera_micronuciformis	0	0	0.0278743	0	0	0.0079696	0	0	0	0	0	0	0.000341	0	0	0.0021923	3.26E-05	0	0	0	0.0011178	0	0	0	0.002581	0	0	0.0089369	0	0	0	0	0	0
Streptococcus_cristatus	0	0	2.58E-05	0.0002878	0.009445	0	0	0	0.0009415	0	0	0	0	0	0.0002478	0	2.92E-05	0	0	0.0040852	0.0103007	0.0041492	0.0008354	8.94E-05	0	0.001195	0	0.000509	0	0	0.0172938	0	0.0012211	0.0001937
Achromobacter_piechaudii	0	0	0	0	0	0	0	0.0075105	0	0	0	0	0	0.0311514	0	0	0	0.0068567	0	0	0	0	0.0005363	0	0	0	0	0	0	0	0	0	0	0
Granulicatella_elegans	0.020903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003652	0	0	0	0.0007035	0	0	0	0	0.0111997	0	0	0	0	0.0062531	0	0	0.0056517
Gemella_unclassified	0.0197227	0	0.0003544	0.0003119	0	0	0	0	0	0	0	0.0147779	0.003552	0	1.35E-05	4.28E-05	0.0003706	0	0.0003837	0.0001878	0.0007356	0.000284	0.0001578	0	0.0009966	0.0024167	0	0.0002304	0	0	0	0	0.0004448	0
Peptostreptococcus_unclassified	0.0004082	0	0.0016964	0	0.0017075	0	0	0	0	0	0	0	0.0278562	0	9.31E-05	0	0.0001106	0	0	0	0	0	0.00207	7.55E-05	4.81E-05	0	0	0.0079706	0.0001371	0	0	0	0	0.0011186
Stenotrophomonas_unclassified	0.0001244	0	0	0	0	0.0031679	0	0.0088555	0	0.0002772	0.0027291	0.0013288	0.0026496	0.0022573	3.06E-05	0	0.0002243	0.0119428	3.30E-05	0	0	3.26E-05	0	0.0083198	0	3.19E-05	0	7.02E-05	0	0	0	0	0	0
Escherichia_unclassified	0	0.0026469	0	0	0	0	0	0.0081716	0	0.0144845	0.0110313	0	0	0.0028096	0	0	0	0	0	0	0	0	0.0005801	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_tigurinus	0.0112689	0	0.0001244	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002618	0	0.0032218	0	0.0007892	0.0005624	0.0001671	3.89E-05	0	0.0104951	0	8.34E-05	0	0.0002077	0.0036063	0	0	0.0062297
Pseudomonas_alcaligenes	0	0	0	0	0	0	0	0.0362753	0	0	0	0	0	0	0	0	0	0	0	0.0001247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_sp_BS35b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella_sanguinis	0.0091563	0	0.0010892	0	0.000916	0	0	0	0	0	0	0	0.0032813	0	0	0	0	0	0	0	0.0002303	0	0.0009206	0.000849	0	0.000495	0	0.0004565	0	0	0	0	0	0.0170014
Capnocytophaga_unclassified	0.0049112	0	0	0	0.006124	0	0	0	0	0	0	0	0	0	0	0.001485	0	0	0	0.001494	0.0044074	0	0	0.0001161	0	0.002829	0	0.0002251	0	0	0	0	0	0.0104568
Neisseria_flavescens	0.016495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001704	0	0	0	0.0006023	0	0	0.0066569	0.000176	0.0005753	0	0.0033862	0	0	0	0	0	0.0036559
Actinomyces_johnsonii	0	0	0	0	0.0017423	0	0	0	3.12E-05	0	0	0	0	0	0.002455	0	0.0001483	0	0	0.0217914	0.0001495	0.000162	0	0	1.69E-05	0.0022525	0	0.0016901	0	0	0	0	0	0
Lachnoanaerobaculum_saburreum	0	0	0.0003505	0	0.0149151	0	0	0	0	0	0	0	0	0	0	0.0017129	0	0	0	0.0014196	0.0003606	0	0	0	0	0.0013993	0	0.0014621	0	0	0.0081029	0	0	0.000393
candidate_division_TM7_single_cell_isolate_TM7c	0.0002218	0	0.0002878	0	0.0025322	0	0	0	0.0002088	0	0	0	0	0	0	0.0037084	0	0	0	0.0006095	0.0001488	0	0	0	0	0.006067	0	0.0019445	0	0	0.0073374	0	0	0.006869
Neisseria_elongata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0199322	0	0	0.000875	0.0030238	0.0003415	0	0	0	0.0048783	0	0	0	0	0	0	0	0.0005816
Prevotella_nanceiensis	0.0078649	0	0.0001292	0	0	0.0063687	0	0	0	0	0	0	0.0013313	0	0	0	5.38E-05	0	0	4.06E-05	0.0009154	0.0001156	0	0.0004589	0.0004248	0.0004337	0	0.0111241	0	0	0	0	0	0
Gemella_morbillorum	0.0059675	0	0	0	0.0064839	0	0	0	0	0	0	0	0	0	0	0.0013287	0	0	0	0	0.0003567	2.89E-05	0	0	0	0.0007488	0	8.37E-05	0	0	0.0054326	0	0	0.0074886
Lachnospiraceae_bacterium_ICM7	0.0003765	0	0	0	0.0043423	0.0007623	0	0	0	0	0	0	0.0093461	0	1.33E-05	0	0.0001105	0	0	0.0007478	0	0	0.0010047	0.0003928	0.0022257	0.0010998	0	0.0048969	0	0	0	0	8.91E-05	0.0006977
Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005912	0	0	0	0	0	0	0	0	0	0.0251157	0	0	0	0	0	0	0	0	0	0
Veillonella_sp_3_1_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0240539	0	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium_hominis	0	0	0.000121	0	0.0066723	0	0	0	0	0	0	0	0	0	0.0003323	0	0.0010713	0	0	0.0008913	0.0025372	0.0013421	0	0	0	0.0068928	0	0.0027777	0	0	0	0	0	0.0006078
Acinetobacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204893	0	0	0	0	0.0001502	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_vestibularis	0	0	0.0006539	0	0	0	0.0010658	0	0	0.0018867	0	0	0	0	0.0037741	0	0	0	0	0.001571	0.0006404	0.0002317	0	0.0001977	0.0014144	0	0	0.0091867	0	0	0	0	0	0
Bordetella_unclassified	0	0	0	0.0042463	0	0	0	0.0051237	0	0	0	0	0	0.0078198	0	0	0	0.0030993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_naeslundii	0.0003397	0	3.35E-05	0	0.0048183	0	0	0	0.0002053	0	0	0	0	0	0.0002571	0	0.0004296	0	0	0.0032768	0.0012619	0.0005349	0	0	0.0001714	0.0044224	0	0.0004535	0.0004496	0	0	0	0	0.0023899
Aerococcus_viridans	0	0	0	0	0	0	0	0	0	0.0122251	0	0	0.0059183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000573
Oribacterium_sp_ACB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018477	0	0	0	0	0	0
