	A10_count	A11_count	A16_count	A17_count	A18_count	A19_count	A22_count	A23_count	A2_count	A5_count	A7_count	A9_count	B12_count	B28_count	B29_count	B30_count	B32_count	B34_count	B35a_count	B35b_count	B37_count	B39_count	B42_count	B44_count	B47_count	B49_count	B51_count	B6_count	B8_count	C53_count	C54_count	C57_count	C60_count	C62_count	SRR059875_count	SRR059905_count	SRR060041_count	SRR060389_count	SRR061249_count	SRR061251_count	SRR061257_count	SRR062389_count	SRR1031063_count	SRR1031677_count	SRR1564324_count	SRR1565744_count	SRR1803853_count	SRR1803859_count	SRR1804260_count	SRR1804274_count	SRR1804292_count	SRR1804378_count	SRR1804718_count	SRR1804818_count	SRR1952524_count	SRR1952532_count	SRR1952557_count	SRR1952578_count	SRR2175813_count	SRR346700_count	SRR513376_count	SRR513802_count	SRR513813_count	SRR514204_count	SRR514244_count	SRR514849_count	SRR533811_count	SRR628262_count	marker_length	tb_avg	hmp_avg	tb_se	hmp_se	freq_all	freq_tmp	freq_hmp
gb|AAD51347_1|ARO_3003067|smeS__Stenotrophomonas_maltophilia_	0	0	0	172.6117835	0	14.90382424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.5686407	0	0	0	0	0	0	33.03912652	0	0	7.729967004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	11.1721571165882	0	6.66873138773908	0	0.0735294117647059	0.147058823529412	0
gb|AAD51348_1|ARO_3003066|smeR__Stenotrophomonas_maltophilia_	0	0	0	97.99345576	0	14.33454949	0	0	0	0	0	2.883841484	0	0	0	9.561942551	0	0	0	0	0	175.1429988	0	0	0	0	0	0	24.18516297	0	0	18.37335622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	10.0728031551471	0	5.82390350375145	0	0.102941176470588	0.205882352941176	0
gb|AAF86219_1|ARO_3000375|ErmB__Enterococcus_faecium_	0	18.63070017	0.58646305	0	0	0	0	0	0.975864665	0	1.458271673	0	9.946337485	21.86769541	0	0	0	0.706195746	24.26777827	4.390144124	0	0	0	94.25113865	55.73619036	4.223892233	0	0	0.397529597	0	0	0	0	14.30367355	1.764488497	2.200364718	9.313059014	0	2.336333262	3.333327822	8.607452514	0	0	0	13.61507016	128.3717482	1.603536133	0	0.825313789	0	0.194171748	8.004699847	0	3.794390376	29.17221861	0.353658282	6.725663228	2.52429258	1.918409796	11.19077256	12.87411695	37.77135208	0.762848068	16.50154037	4.61601056	1.287813308	13.1048314	0.138830003	88	7.40417279361765	9.49724452573529	3.25461454260483	3.88754015310328	0.602941176470588	0.411764705882353	0.794117647058823
gb|AAG03357_1|ARO_3000596|ErmX__Corynebacterium_striatum_	0	40.21865434	0	0	0	0	0	0	0	0	3.198789476	0	0	0	0	0	0	0	0	0	0	0	0	4.678500203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.322086665	0	8.454431136	0	0	63.43406663	7.347815643	0	0	0	2.375506354	0	0	0	0	0	7.566810175	0	0	0	0	0	11.25117399	84.13718561	2.656101823	0	0	0	0	0	133	1.41458658879412	5.57485817723529	1.18728592133449	3.04067239911463	0.176470588235294	0.0882352941176471	0.264705882352941
gb|AAK76136_1|ARO_3000025|patB__Streptococcus_pneumoniae_TIGR4_	0	0	0	0	0	0	0	0	28.15221701	0	0	0	8.96004888	0	2.84920071	0	5.363043565	0	34.30617964	0	0	2.128773044	6.904840151	45.26054691	0	1.695541156	0	0	0	0	0	0	3.418930848	40.56087579	17.1407454	21.37497155	24.67355895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.46380178	0	0	0	0	10.88916904	0	0	0	37.5188551	0	0	19.23608135	0	0	0	0	163	5.282358756	4.56756421088235	2.08944069984597	1.67419657231937	0.264705882352941	0.323529411764706	0.205882352941176
gb|AAK76137_1|ARO_3000024|patA__Streptococcus_pneumoniae_TIGR4_	1.410229118	0	0	0	3.03731753	0.936811809	0	0	55.55099313	0	2.577387503	4.065846197	45.39413644	15.01984721	7.002181239	0	9.438956674	93.04787469	45.92144422	0.419873137	0.780649651	2.283655504	12.28231218	92.30384793	0	5.854982625	0.341613959	67.57274383	0	0	84.02072791	0.237630089	11.72996224	53.30315193	98.762516	106.6565985	101.5981506	73.14553445	1.096920565	9.687247619	6.599450465	5.629932595	39.25872499	2.741250526	1.464912612	85.81949273	0.72693638	57.10186662	1.471310455	158.8824352	0.083567588	111.9415055	22.21133534	12.64182005	2.183168174	9.587034375	53.95514338	75.57029017	9.24722089	4.848390408	62.90239219	2.13333234	3.24024384	47.19089628	0.79981508	0.343106379	5.006219379	1.220485601	143	18.0745346101471	34.5808602138529	5.04175788696266	7.43208524802233	0.852941176470588	0.705882352941177	1
gb|AAN28721_1|ARO_3002871|tet37__uncultured_bacterium_	0	0	0	0	0	0	0	0	0	0	15.55489784	0	0	0	0	0	0	0	0	0	0	0	17.87135098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.265535285	0	0	0	0	21.86910291	0	0	0	0	0	0	0	0	0	0	11.3912263	0	0	13.46289376	0	27.74379031	0	0	0	0	17.58480213	0.327063697	0	2.221280044	59	0.983124965294118	2.84899101282353	0.686304691220181	1.1950635939268	0.147058823529412	0.0588235294117647	0.235294117647059
gb|AAN82549_1|ARO_3003369|Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_Pulvomycin__Escherichia_coli_CFT073_	0	0	245.41223	10.07283617	0	140.5217714	149.7609067	0	20.41809146	75.60053626	30.51153038	108.0123916	368.0512386	420.1893121	65.09327776	13.23961276	1061.882626	0	33.55219767	214.3290875	0	48.57969253	122.6936981	0	0	17.21626405	24.91154099	0	116.4455928	512.1788349	0	46.20991264	208.2917871	164.7395571	36.91852856	0	17.71435001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.612720616	7.939032171	5.586082129	96.19505278	680.1542505	105.6319357	73.58823218	0	0	1.975732262	12.76890304	0	1.254300572	0	0	0	34	124.056309605	30.7452682505882	36.0226507140948	20.2098709476057	0.529411764705882	0.705882352941177	0.352941176470588
gb|AAT45742_1|ARO_3000988|TEM-126__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	579.21645	0	0	0	0	0	0	0	0	0	12.63072006	68.3579175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.696791075	57.07294007	0	0	0	0	1.630590743	0	0	0	33	19.4177966929412	1.98236240847059	17.0848857890023	1.68932942031871	0.0882352941176471	0.0882352941176471	0.0882352941176471
gb|ABK33456_1|ARO_3002639|APH(3__)-Ib__Pseudomonas_aeruginosa_	0	0	0	0	0	0	49.06354648	0	4.656757701	0	0	0	0	0	0	0	0	0	0	0	29.07160737	0	0	0	0	0	0	0	0	1.081599229	0	0	0	0	0	0	0	0	0	0	5.704744357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76287641	0	0	0	0	0	0	0	0	0	59	2.46686796411765	0.190224140205882	1.65369470222066	0.168604926406749	0.0882352941176471	0.117647058823529	0.0588235294117647
gb|ACT97371_1|ARO_3003097|CfxA6__uncultured_organism_	0	140.7652902	0	0	0	0	0	0	4.423919816	0	21.03446413	0	0	0	0	0	0	0	12.11607138	0	0	0	3.302314855	0	0	16.95541156	0	0	0	0	0	0	0	0	23.99704356	8.673901499	0	0	55.25936064	4.380024964	1.885045961	0	0	32.32823909	42.08294414	0	0	0	22.67528793	0	54.41516128	0	0	3.127497522	22.9960381	3.206501759	0	0	2.898930358	16.54288118	15.91709004	2.85383549	11.31789133	0	4.941184071	14.15293817	14.14489739	20.59732405	87	5.84110211591176	11.1292358389412	4.17552167901632	2.64963153746615	0.397058823529412	0.176470588235294	0.617647058823529
gb|AEA37904_1|ARO_3003112|lsaC__Streptococcus_agalactiae_	0	0	4.197840777	0	0	0	0	0	0	0	0	0	0	79.16610228	0	0	0	0	0	0	0	0	0	0	0	6.487287901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.25325091	0	0	0	0	0	0	0	0	0	41.08710408	0	0	0	3.432943846	1.378573432	0	0.744478824	0	2.36232578	66.64153473	0.725228198	6.700214552	0.547271895	78	2.64268326347059	4.81979194844118	2.32967567484343	2.50227593526396	0.191176470588235	0.0882352941176471	0.294117647058824
gb|AEJ33969_1|ARO_3000410|sul1__Vibrio_fluvialis_	0	0	0	0	0	0	0	0	0	0	0	0	8.438564554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.871538672	0	11.37744061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.763740957	0	0	0	0	0	39	0.755515995176471	0.169521792852941	0.43848217249435	0.169521792852941	0.0588235294117647	0.0882352941176471	0.0294117647058824
gb|AET10444_1|ARO_3004032|tetA(46)__Streptococcus_australis_	18.67920245	0	0	0	0	0	0	0	21.45733563	0	62.54863729	0	0	0	11.82332989	0	0	0	24.23214276	1.588980974	2.954314847	16.84096008	32.55138929	1.176628794	0	1.865095272	0	11.18980729	0	0	0	0	13.88611914	29.74464225	0	0	0	0	3.286382771	0	0	0	0	11.68752955	0	0	0	0	34.91994341	0	2.031335206	0	0	0	35.4398444	0	0	5.281596783	0	33.29254838	0	5.70767098	0	0	10.28526469	3.336049712	9.14759831	2.097875597	286	7.36878193991176	4.60334234673529	2.3439899512682	1.70985562422927	0.382352941176471	0.411764705882353	0.352941176470588
gb|AET10445_1|ARO_3004033|tetB(46)__Streptococcus_australis_	10.44450941	0	0	0	0	0	0	0	20.73712414	0	40.28475496	0	7.345486244	14.225159	11.75295293	0	0	4.501997879	28.3970423	3.437303402	0	18.25533758	34.23798977	2.03623843	0	13.32210908	0	14.59920169	0	0	0	0	14.10308975	10.45710079	0	0	0	0	3.20950832	0	0	0	0	10.89183836	4.797019539	0	0	0	37.41422508	0	4.745072083	0	0	0	34.32385621	0	0	0	0	56.09733426	0	6.922780623	0	3.506577329	16.49699229	6.059621547	13.05682836	3.671282295	257	7.29815874573529	5.91743930282353	1.83850106265314	2.16556778985104	0.426470588235294	0.470588235294118	0.382352941176471
gb|AJF83452_1|ARO_3003574|LpxC__Acinetobacter_baumannii_	0	0	0	0	0	1.232647117	21.01907463	0	0	31.03600962	0	1.539650319	1.554472418	0	0	0	0	0	0	0	69.24499362	0	0	0	0	0	0	0	0	43.26396916	0	42.15641153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	6.20727142394118	0	2.75970455707631	0	0.117647058823529	0.235294117647059	0
gb|ALH22601_1|ARO_3000620|adeL__Acinetobacter_baumannii_	0	0	0	0	0	0	0	0	0	90.40564128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.248958561	0	2.252667717	0	0	109.2671893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	6.00513108405882	0	4.1038802322415	0	0.0588235294117647	0.117647058823529	0
gb|AMP35312_1|ARO_3002831|vgaC__Enterobacter_cloacae_	0	0	0	65.00240323	0	2.021895991	82.96107782	0	0	0	29.96276185	196.9866279	0	0	0.676428946	1.238237165	0	0	7.321942418	189.9518155	7.098857259	0	86.88176565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	19.7089356979118	0	8.51456419410719	0	0.161764705882353	0.323529411764706	0
gb|ANZ79240_1|ARO_3004035|tetA(60)__uncultured_bacterium_	8.550934481	0	0	0	0	0	0	0	10.74075904	0	5.195649519	0	0.414041719	0	3.133486531	0	0.348386688	3.000227595	2.020831245	0.701771184	0	6.617906161	2.269961754	1.111612888	0	4.445882595	0.106250011	0	0	0	0	0	0.527218308	1.250942898	0	0	0	2.695739447	1.165392334	0.099154108	0	5.907721233	2.342146581	0.823320065	9.223160525	0	0	0	4.997878584	0	0.402746698	0	0	0.203164209	1.491632737	0	0	0.675794864	0	12.67068409	1.443068286	5.430955623	0	1.899213271	7.946715006	1.456713885	6.38909266	2.772942601	300	1.48340772402941	2.05991872961765	0.458776981784736	0.54057493374331	0.529411764705882	0.470588235294118	0.588235294117647
gb|ANZ79241_1|ARO_3004036|tetB(60)__uncultured_bacterium_	0	0	0	0	0.086949893	0	0	0	5.418218514	0	1.426798183	0	0.159361381	1.637428374	2.117915328	0	0	5.138450903	0.437930291	0.876904155	0	1.022270508	0.204909825	2.597364462	0	2.113327376	0	3.360967296	0	0	0	0	0.608766464	1.444434066	0	0	0.414184443	0	0.537676797	0.452970208	0.11696778	0	0	1.002989432	3.330304932	0	0.524551042	0	1.143960119	0	0.047495248	8.51605148	1.315488996	0.77492785	0.545256716	0.173012685	0.27418771	0.617452861	0.340160091	5.448857194	0.472359687	2.30975894	0.886218262	0.32290784	2.434155246	0.690733184	2.289641663	0.848960449	300	0.842705794676471	1.05385973102941	0.245937261377673	0.299818937692945	0.617647058823529	0.470588235294118	0.764705882352941
gb|AQA08261_1|ARO_3004097|Streptococcus_mitis_CdsA_with_mutation_conferring_daptomycin_resistance__Streptococcus_oralis_	6.701239119	0	0	0	0.726979559	0	0	0	169.8785209	0	0	0	106.3259134	0	0	0	0	291.9695691	33.55219767	0	0	0	0	151.151545	0	0.841396363	0	0	0	0.927085054	0	0	0	16.10236272	0	0	5.194433462	0	0	8.059245935	0	0	0	0	0	0	0	0	0	50.87535163	0	0	27.43058948	16.51318692	0	24.5912165	6.877369917	0	3.47871643	0	21.01055886	0	6.639829582	1.349900446	0	0	0	0	146	22.8875532025	5.05942350476471	10.8415260138522	1.88495173245416	0.308823529411765	0.294117647058824	0.323529411764706
gb|BAC67143_1|ARO_3000166|tet(B)__Gram-negative_bacterium_TC71_	0	0	0	0	0	0	0	0	11.45763406	0	0	0	0	0	0	0	0	0	46.4449403	0.954531736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.65058704	0	68.47830004	0	0	0	0	14.71817636	3.11785209	0	0	0	2.026815778	0	0	0	2.193501676	0	1.877005268	0	10.07700665	7.244351629	0	10.33305089	71.67560749	0.231670119	0	0	105	1.73109135576471	6.22423308911765	1.39627527208855	2.89372974830868	0.220588235294118	0.0882352941176471	0.352941176470588
gb|BAE77595_1|ARO_3003303|Escherichia_coli_gyrB_conferring_resistance_to_aminocoumarin__Escherichia_coli_str__K-12_substr__W3110_	0	0	701.8789779	379.7459238	19.33765627	252.9391885	868.6132589	0	0	157.2491154	79.329979	333.4882591	691.118437	0	0	0	141.5843501	0	0	1127.779246	49.33705795	252.6144012	546.86334	0	0	0	0	0	540.6402521	0	630.1554594	45.05466482	1511.851221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	244.987670248235	0	64.5101448521551	0	0.264705882352941	0.529411764705882	0
gb|BAE77933_1|ARO_3000518|CRP__Escherichia_coli_str__K-12_substr__W3110_	0	0	969.3783086	221.6023958	0	313.4716439	541.4432781	0	0	166.3211798	45.76729558	364.5418217	749.7340046	0	0	52.95845105	1061.882626	0	11.18406589	1020.614702	0	330.3419092	508.3024635	0	0	0	0	0	415.877117	0	0	23.10495632	1336.538967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	239.207799589412	0	64.4390559806174	0	0.25	0.5	0
gb|BAP68758_1|ARO_3001855|ACT-35__Enterobacter_cloacae_	0	0	2.126905994	0	0	41.21971961	123.8023495	0	0	26.2081859	0	0	113.0033862	0	0	0	0	0	0	3.538130968	13.15654879	0	0	0	0	0	0	0	4.325122017	0	0	4.004859096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	9.74662376691176	0	4.9487315246658	0	0.132352941176471	0.264705882352941	0
gb|CAA79727_1|ARO_3000191|tetQ__Bacteroides_fragilis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.77578791	11.18406589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.10754218	0	20.0104879	0	0	0	71.21729008	0	0	0	17.26810388	0	28.43869289	0	0	0	11.17216426	0	0	0	0	29.2681744	26.93661392	33.58744846	19.15335456	0	15.05160686	12.83096043	39.17048507	17.42850496	102	0.763525111764706	10.9600420544118	0.537030056484594	2.81548404812401	0.235294117647059	0.0588235294117647	0.411764705882353
gb|CAB51471_1|ARO_3004359|ACI-1__Acidaminococcus_fermentans_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40118854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008598162	0	0	0	0	0	1.215888823	0	0	0	0	0	0	1.573406698	239	0	0.123502418323529	0	0.0641245720777739	0.0588235294117647	0	0.117647058823529
gb|CAC14594_1|ARO_3003055|smeD__Stenotrophomonas_maltophilia_	0	0	0	85.31387003	0	10.64558874	77.149558	0	0	0	0	79.78188017	0	0	0	57.3716553	0	0	0	0	0	74.63607307	0	0	0	0	0	0	18.80487834	0	0	29.58134559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	12.7436720364706	0	4.65168949015248	0	0.117647058823529	0.235294117647059	0
gb|CAC14596_1|ARO_3003057|smeF__Stenotrophomonas_maltophilia_	0	0	0	174.3706213	0	15.49452459	146.6408878	0	0	0	0	238.5273648	0	0	0	125.5341332	0	0	0	0	0	242.1529816	0	0	0	0	0	0	19.93167158	0	0	90.73508888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	30.9819786397059	0	11.9205270375657	0	0.117647058823529	0.235294117647059	0
gb|CAD09823_1|ARO_3003479|tetR__Salmonella_enterica_subsp__enterica_serovar_Typhi_str__CT18_	0	0	0	0	0	0	0	0	17.2965286	0	0	0	0	0	0	0	0	0	59.2138827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.69713101	0	97.2622839	0	0	0	0	17.04855428	3.216310577	0	0	0	0	0	0	0	10.44341358	0	0	0	11.46409461	9.376888039	0	6.299535412	88.38087897	0.132382925	0	0.599393028	75	2.25030621470588	7.55649606855882	1.79950526771666	3.79515621939412	0.191176470588235	0.0588235294117647	0.323529411764706
gb|CAI43424_1|ARO_3002415|OXY-6-3__Klebsiella_oxytoca_	0	0	334.2280847	0	0	0	0	0	0	0	0	0	0	0	0	10.92793434	53.63043565	0	0	12.63618203	0	118.2876958	119.355094	0	0	0	0	0	0	0	0	0	293.7024405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	27.7284666770588	0	13.4582262078931	0	0.102941176470588	0.205882352941176	0
gb|CDJ72759|ARO_3003899|Escherichia_coli_PtsI_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	0	361.9830393	10.07283617	3.718780051	135.1170879	311.0418832	0	0	158.7611261	15.25576519	310.5356259	388.4985297	0	3.616293209	13.23961276	0	0	0	0	113.8547491	106.8753236	0	0	0	0	0	0	257.8438126	0	0	11.55247816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	64.7637336158824	0	20.4131764976353	0	0.220588235294118	0.441176470588235	0
gb|CDJ73082|ARO_3003900|Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	0	12.2706115	0	0	0	0	0	0	302.402145	0	27.0030979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	590.5455062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.46830696	0	0	0	0	0	0	0	34	27.4182753117647	0.396126675294118	19.2439745756631	0.396126675294118	0.0735294117647059	0.117647058823529	0.0294117647058824
gb|CDJ73208|ARO_3003890|Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	0	0	0	0	226.9967076	483.8429294	0	0	166.3211798	0	0	640.6817857	0	0	0	0	0	0	10.20614702	0	0	0	0	0	0	0	0	41.5877117	0	0	23.10495632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.283096043	0	0	34	46.84533581	0.0377381189117647	24.0972925198313	0.0377381189117647	0.117647058823529	0.205882352941176	0.0294117647058824
